date,realtime_end,realtime_start,INDPRO
1919-07-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.8312
1919-07-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.1881
1919-07-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.1986
1919-07-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.2096
1919-07-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.2064
1919-07-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.2071
1919-07-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.397
1919-07-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.4218
1919-07-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.3962
1919-07-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.3724
1919-08-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,11.1
1919-08-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.7
1919-08-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.298
1919-08-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.302
1919-08-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1919-08-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.9221
1919-08-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.9214
1919-08-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.2683
1919-08-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.279
1919-08-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.2902
1919-08-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.2869
1919-08-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.2876
1919-08-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.4805
1919-08-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.5056
1919-08-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.4797
1919-08-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.4554
1919-09-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,10.9
1919-09-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.5
1919-09-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.13
1919-09-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.134
1919-09-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1919-09-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.8019
