date,realtime_end,realtime_start,GDPC1
1949-10-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,1838.7
1949-10-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2002.7
1949-10-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2004.7
1949-10-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2004.653
1950-01-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1350.9
1950-01-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1950-01-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1538.2
1950-01-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1950-01-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1610.5
1950-01-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1696.8
1950-01-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,1914.6
1950-01-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,1913.0
1950-01-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2082.5
1950-01-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2084.6
1950-01-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2084.559
1950-04-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1393.5
1950-04-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1950-04-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1584.5
1950-04-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1950-04-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1658.8
1950-04-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1747.3
1950-04-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,1972.9
1950-04-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,1971.2
1950-04-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2145.5
1950-04-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2147.6
1950-04-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2147.592
1950-07-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1445.2
1950-07-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1950-07-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1644.1
1950-07-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1950-07-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1723.0
1950-07-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1815.8
1950-07-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2050.1
1950-07-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2048.4
1950-07-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2228.2
1950-07-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2230.4
1950-07-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2230.362
1950-10-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1484.5
1950-10-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1950-10-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1678.6
1950-10-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1950-10-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1753.9
1950-10-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1848.9
1950-10-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2086.2
1950-10-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2084.4
1950-10-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2271.2
1950-10-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2273.4
1950-10-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2273.435
1951-01-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1504.1
1951-01-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1951-01-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1693.1
1951-01-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1951-01-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1773.5
1951-01-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1871.3
1951-01-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2112.5
1951-01-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2110.7
