date,realtime_end,realtime_start,PPIACO
1929-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.6
1929-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.4
1929-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.1
1929-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,16.1
1930-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.9
1930-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.7
1930-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.5
1930-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.5
1930-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.3
1930-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.0
1930-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.5
1930-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.5
1930-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.5
1930-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.3
1930-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.0
1930-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.7
1931-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.5
1931-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.2
1931-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.1
1931-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.9
1931-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.6
1931-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.4
1931-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.4
1931-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.4
1931-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.3
1931-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.1
1931-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.1
1931-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.8
1932-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.6
1932-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.4
1932-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.4
1932-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.3
1932-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.1
1932-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.0
1932-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.1
1932-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.2
1932-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.3
1932-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.1
1932-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.0
1932-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,10.8
1933-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,10.5
1933-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,10.3
1933-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,10.4
1933-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,10.4
1933-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,10.8
1933-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.2
1933-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.9
1933-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.0
1933-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.2
1933-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.3
1933-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.3
1933-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.2
1934-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.4
1934-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.7
1934-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.7
1934-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.7
1934-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.7
1934-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.9
1934-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.9
1934-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.2
1934-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.4
1934-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.2
1934-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.2
1934-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.3
1935-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.6
1935-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.7
1935-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.7
1935-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.8
1935-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.8
1935-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.8
1935-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.7
1935-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.9
1935-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.9
1935-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.9
1935-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.9
1935-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.0
1936-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.9
1936-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.9
1936-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.7
1936-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.7
1936-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.5
1936-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.7
1936-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.9
1936-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.0
1936-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.0
1936-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.0
1936-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.2
1936-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.5
1937-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.8
1937-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.9
1937-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.1
1937-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.2
1937-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.1
1937-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.0
1937-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.2
1937-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.1
1937-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.1
1937-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.7
1937-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.4
1937-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.1
1938-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.0
1938-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.8
1938-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.7
1938-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.5
1938-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.5
1938-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.5
1938-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.6
1938-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.4
1938-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.5
1938-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.4
1938-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.4
1938-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.3
1939-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.3
1939-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.3
1939-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.2
1939-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.1
1939-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.1
1939-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.0
1939-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.0
1939-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.9
1939-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.6
1939-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.7
1939-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.6
1939-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.7
