date,realtime_end,realtime_start,HOUST
1967-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1091.0
1967-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1304.0
1967-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1248.0
1967-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1364.0
1967-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1407.0
1967-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1421.0
1967-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1491.0
1967-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1538.0
1967-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1308.0
1968-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1380.0
1968-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1520.0
1968-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1466.0
1968-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1554.0
1968-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1408.0
1968-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1405.0
1968-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1512.0
1968-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1495.0
1968-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1556.0
1968-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1569.0
1968-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1630.0
1968-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1548.0
1969-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1769.0
1969-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1705.0
1969-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1561.0
1969-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1524.0
1969-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1583.0
1969-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1528.0
1969-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1368.0
1969-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1358.0
1969-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1507.0
1969-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1381.0
1969-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1229.0
1969-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1327.0
1970-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1085.0
1970-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1305.0
1970-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1319.0
1970-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1264.0
1970-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1290.0
1970-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1385.0
1970-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1517.0
1970-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1399.0
1970-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1534.0
1970-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1580.0
1970-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1647.0
1970-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1893.0
1971-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1828.0
1971-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1741.0
1971-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1910.0
1971-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1986.0
1971-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2049.0
1971-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2026.0
1971-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2083.0
1971-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2158.0
1971-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2041.0
1971-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2128.0
1971-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2182.0
