date,realtime_end,realtime_start,PAYEMS
1942-03-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,38936.0
1942-04-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,39268.0
1942-04-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,39245.0
1942-04-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,39351.0
1942-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,39352.0
1942-05-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,39621.0
1942-05-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,39635.0
1942-05-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,39772.0
1942-06-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,39856.0
1942-06-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,39852.0
1942-06-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,40028.0
1942-07-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,40346.0
1942-07-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,40338.0
1942-07-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,40470.0
1942-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,40471.0
1942-08-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,40853.0
1942-08-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,40845.0
1942-08-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,40988.0
1942-09-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41116.0
1942-09-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41121.0
1942-09-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41254.0
1942-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41255.0
1942-10-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41338.0
1942-10-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41335.0
1942-10-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41514.0
1942-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41515.0
1942-11-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41513.0
1942-11-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41516.0
1942-11-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,41673.0
1942-12-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41850.0
1942-12-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41872.0
1942-12-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,41915.0
1943-01-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42040.0
1943-01-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42044.0
1943-01-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,42174.0
1943-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,42172.0
1943-02-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42227.0
1943-02-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42229.0
1943-02-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,42395.0
1943-03-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42441.0
1943-03-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42420.0
1943-03-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,42553.0
1943-04-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42461.0
1943-04-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42488.0
1943-04-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,42646.0
1943-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,42647.0
1943-05-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42395.0
1943-05-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42396.0
1943-05-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,42596.0
1943-06-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42547.0
