date,realtime_end,realtime_start,TCU
1969-02-01 00:00:00,2018-02-14 00:00:00,2005-11-07 00:00:00,88.1
1969-02-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,88.0881
1969-02-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,88.0824
1969-03-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,87.9
1969-03-01 00:00:00,2005-11-06 00:00:00,1997-01-27 00:00:00,88.4
1969-03-01 00:00:00,2018-02-14 00:00:00,2005-11-07 00:00:00,88.5
1969-03-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,88.4595
1969-03-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,88.4533
1969-04-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,87.3
1969-04-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,87.8
1969-04-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,87.7
1969-04-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,87.8
1969-04-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,87.7
1969-04-01 00:00:00,2009-03-26 00:00:00,2005-11-07 00:00:00,87.8
1969-04-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,87.9
1969-04-01 00:00:00,2018-02-14 00:00:00,2010-06-25 00:00:00,87.8
1969-04-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.8182
1969-04-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.8116
1969-05-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.7
1969-05-01 00:00:00,2005-11-06 00:00:00,1997-01-27 00:00:00,87.1
1969-05-01 00:00:00,2018-02-14 00:00:00,2005-11-07 00:00:00,87.2
1969-05-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.1738
1969-05-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.1668
1969-06-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,87.2
1969-06-01 00:00:00,2005-11-06 00:00:00,1997-01-27 00:00:00,87.6
1969-06-01 00:00:00,2009-03-26 00:00:00,2005-11-07 00:00:00,87.7
1969-06-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,87.8
1969-06-01 00:00:00,2018-02-14 00:00:00,2010-06-25 00:00:00,87.7
1969-06-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.7122
1969-06-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.7048
1969-07-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,87.4
1969-07-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,87.8
1969-07-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,87.7
1969-07-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,87.8
1969-07-01 00:00:00,2018-02-14 00:00:00,2005-11-07 00:00:00,87.9
1969-07-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.8624
1969-07-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.8546
1969-08-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,87.3
1969-08-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,87.7
1969-08-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,87.6
1969-08-01 00:00:00,2006-12-10 00:00:00,2003-11-10 00:00:00,87.7
1969-08-01 00:00:00,2018-02-14 00:00:00,2006-12-11 00:00:00,87.8
1969-08-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.7529
1969-08-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.7447
