date,realtime_end,realtime_start,PPI
1988-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,107.2
1988-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,107.9
1988-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,108.0
1988-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,108.1
1988-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,108.2
1988-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,108.3
1988-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,109.0
1989-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,110.5
1989-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,110.8
1989-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,111.5
1989-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.3
1989-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,113.2
1989-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.9
1989-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.8
1989-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.0
1989-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.4
1989-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.8
1989-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.7
1989-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,113.0
1990-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.9
1990-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.4
1990-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.2
1990-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.1
1990-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.6
1990-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.3
1990-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.5
1990-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.5
1990-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.4
1990-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,120.8
1990-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,120.1
1990-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.7
1991-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.0
1991-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,117.2
1991-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.2
1991-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.0
1991-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.5
1991-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.4
1991-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.1
1991-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.2
1991-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.1
1991-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.4
1991-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.4
1991-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,115.9
1992-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,115.6
1992-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.0
1992-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.1
1992-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.3
1992-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,117.2
1992-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.0
1992-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,117.9
1992-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,117.7
1992-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.0
1992-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.1
1992-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,117.8
1992-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,117.6
1993-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.0
1993-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.4
1993-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.7
1993-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.3
1993-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.7
1993-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.5
1993-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.2
1993-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.7
1993-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.7
1993-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.1
1993-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.0
1993-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.6
1994-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.1
1994-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.3
