RRS,date,realtime_end,realtime_start
125030.25355574607,1988-12-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
125425.84192893757,1989-01-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
123341.07004775984,1989-02-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
123438.38055667326,1989-03-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
124828.22847745841,1989-04-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
125052.46573712847,1989-05-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
124786.9772834625,1989-06-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
124907.55769668131,1989-07-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
126862.22965833348,1989-08-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
126433.85187452985,1989-09-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
124438.98644180474,1989-10-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
125127.56406465948,1989-11-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
124955.15522821505,1989-12-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
127657.6372964084,1990-01-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
126175.76748132468,1990-02-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
126166.24797501793,1990-03-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
124855.72927345568,1990-04-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
124411.48564580746,1990-05-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
124739.37975192878,1990-06-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
124591.2985427127,1990-07-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
124159.74759014013,1990-08-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
123725.02346879867,1990-09-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
123340.01232483688,1990-10-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
122721.24441489828,1990-11-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
121251.00955196726,1990-12-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
118102.16841027974,1991-01-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
119945.77946501986,1991-02-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
120625.89530449083,1991-03-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
121581.01910393451,1991-04-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
121175.91122443625,1991-05-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
121080.71616136878,1991-06-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
121300.72252934694,1991-07-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
120273.67357114117,1991-08-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
120037.80135931843,1991-09-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
119086.90845156663,1991-10-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
119190.56529801789,1991-11-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
118746.32167036967,1991-12-01 00:00:00,2018-06-30 00:00:00,2018-06-12 00:00:00
107711.09841500325,1980-01-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
105464.4949266108,1980-02-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
