date,realtime_end,realtime_start,BP
1992-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1075.0
1992-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1114.0
1992-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1132.0
1992-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1118.0
1992-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1176.0
1993-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1177.0
1993-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1148.0
1993-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1056.0
1993-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1104.0
1993-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1112.0
1993-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1130.0
1993-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1174.0
1993-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1230.0
1993-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1251.0
1993-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1287.0
1993-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1357.0
1993-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1461.0
1994-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1390.0
1994-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1269.0
1994-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1342.0
1994-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1392.0
1994-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1396.0
1994-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1357.0
1994-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1335.0
1994-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1377.0
1994-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1412.0
1994-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1397.0
1994-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1340.0
1994-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1396.0
1995-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1282.0
1995-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1254.0
1995-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1226.0
1995-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1259.0
1995-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1271.0
1995-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1305.0
1995-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1354.0
1995-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1386.0
1995-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1421.0
1995-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1400.0
1995-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1430.0
1995-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1442.0
1996-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1387.0
1996-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1420.0
1996-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1437.0
1996-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1463.0
1996-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1457.0
1996-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1429.0
1996-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1450.0
1996-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1413.0
1996-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1392.0
1996-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1358.0
1996-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1412.0
1996-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1411.0
1997-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1382.0
1997-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1445.0
1997-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1436.0
1997-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1421.0
1997-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1414.0
1997-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1402.0
1997-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1440.0
1997-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1449.0
1997-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1494.0
1997-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1499.0
