date,realtime_end,realtime_start,RDPI
1981-08-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3757.8
1981-08-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3783.2
1981-08-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1981-08-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,4008.6
1981-08-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1981-08-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4460.8
1981-08-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4458.8
1981-08-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4755.4
1981-08-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4755.3
1981-09-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2814.5
1981-09-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3472.5
1981-09-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3492.9
1981-09-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3751.1
1981-09-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3775.8
1981-09-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1981-09-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,4005.8
1981-09-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1981-09-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4457.6
1981-09-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4455.6
1981-09-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4750.3
1981-09-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4750.2
1981-10-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2819.8
1981-10-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3482.2
1981-10-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3498.7
1981-10-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3759.3
1981-10-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3783.8
1981-10-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1981-10-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,4020.2
1981-10-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1981-10-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4468.4
1981-10-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4466.4
1981-10-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4760.3
1981-10-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4760.2
1981-11-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2810.8
1981-11-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3476.5
1981-11-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3491.6
1981-11-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3756.8
1981-11-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3780.1
1981-11-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1981-11-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,4015.3
1981-11-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1981-11-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4467.5
1981-11-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4465.5
1981-11-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4762.0
1981-11-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4761.9
1981-12-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2795.8
1981-12-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3459.4
1981-12-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3473.1
1981-12-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3745.7
1981-12-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3767.8
1981-12-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1981-12-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,4003.0
1981-12-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1981-12-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4457.2
1981-12-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4455.1
1981-12-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4755.3
1981-12-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4755.2
1982-01-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2788.1
1982-01-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3446.5
1982-01-01 00:00:00,1998-08-02 00:00:00,1997-05-07 00:00:00,3459.2
1982-01-01 00:00:00,1999-11-01 00:00:00,1998-08-03 00:00:00,3454.2
1982-01-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3744.6
1982-01-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3764.4
1982-01-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1982-01-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,4005.3
1982-01-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1982-01-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4459.8
1982-01-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4457.8
1982-01-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4757.2
1982-01-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4757.1
1982-02-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2794.4
1982-02-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3452.2
1982-02-01 00:00:00,1998-08-02 00:00:00,1997-05-07 00:00:00,3463.7
1982-02-01 00:00:00,1999-11-01 00:00:00,1998-08-03 00:00:00,3459.2
1982-02-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3751.1
1982-02-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3769.8
1982-02-01 00:00:00,2003-12-30 00:00:00,2003-12-23 00:00:00,
1982-02-01 00:00:00,2009-08-03 00:00:00,2003-12-31 00:00:00,4013.4
1982-02-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1982-02-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4471.4
1982-02-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4469.4
1982-02-01 00:00:00,2018-06-30 00:00:00,2013-08-02 00:00:00,4769.5
1982-03-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2802.6
1982-03-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3460.5
