date,realtime_end,realtime_start,VXO
1998-01-01 00:00:00,2018-06-30,1998-01-31,24.43
1998-02-01 00:00:00,2018-06-30,1998-02-28,20.42
1998-03-01 00:00:00,2018-06-30,1998-03-31,20.54
1998-04-01 00:00:00,2018-06-30,1998-04-30,22.54
1998-05-01 00:00:00,2018-06-30,1998-05-31,21.45
1998-06-01 00:00:00,2018-06-30,1998-06-30,22.0
1998-07-01 00:00:00,2018-06-30,1998-07-31,20.25
1998-08-01 00:00:00,2018-06-30,1998-08-31,31.49
1998-09-01 00:00:00,2018-06-30,1998-09-30,39.25
1998-10-01 00:00:00,2018-06-30,1998-10-31,37.45
1998-11-01 00:00:00,2018-06-30,1998-11-30,25.04
1998-12-01 00:00:00,2018-06-30,1998-12-31,25.48
1999-01-01 00:00:00,2018-06-30,1999-01-31,28.62
1999-02-01 00:00:00,2018-06-30,1999-02-28,29.94
1999-03-01 00:00:00,2018-06-30,1999-03-31,26.48
1999-04-01 00:00:00,2018-06-30,1999-04-30,24.69
1999-05-01 00:00:00,2018-06-30,1999-05-31,27.38
1999-06-01 00:00:00,2018-06-30,1999-06-30,24.12
1999-07-01 00:00:00,2018-06-30,1999-07-31,21.49
1999-08-01 00:00:00,2018-06-30,1999-08-31,24.87
1999-09-01 00:00:00,2018-06-30,1999-09-30,25.58
1999-10-01 00:00:00,2018-06-30,1999-10-31,25.37
1999-11-01 00:00:00,2018-06-30,1999-11-30,22.23
1999-12-01 00:00:00,2018-06-30,1999-12-31,23.22
2000-01-01 00:00:00,2018-06-30,2000-01-31,24.94
2000-02-01 00:00:00,2018-06-30,2000-02-29,25.46
2000-03-01 00:00:00,2018-06-30,2000-03-31,24.77
2000-04-01 00:00:00,2018-06-30,2000-04-30,29.83
2000-05-01 00:00:00,2018-06-30,2000-05-31,29.43
2000-06-01 00:00:00,2018-06-30,2000-06-30,24.32
2000-07-01 00:00:00,2018-06-30,2000-07-31,22.66
2000-08-01 00:00:00,2018-06-30,2000-08-31,20.48
2000-09-01 00:00:00,2018-06-30,2000-09-30,22.34
2000-10-01 00:00:00,2018-06-30,2000-10-31,28.01
2000-11-01 00:00:00,2018-06-30,2000-11-30,29.21
2000-12-01 00:00:00,2018-06-30,2000-12-31,30.1
2001-01-01 00:00:00,2018-06-30,2001-01-31,27.78
2001-02-01 00:00:00,2018-06-30,2001-02-28,26.16
2001-03-01 00:00:00,2018-06-30,2001-03-31,32.42
2001-04-01 00:00:00,2018-06-30,2001-04-30,32.25
2001-05-01 00:00:00,2018-06-30,2001-05-31,26.1
2001-06-01 00:00:00,2018-06-30,2001-06-30,23.3
2001-07-01 00:00:00,2018-06-30,2001-07-31,24.86
2001-08-01 00:00:00,2018-06-30,2001-08-31,24.21
2001-09-01 00:00:00,2018-06-30,2001-09-30,38.55
2001-10-01 00:00:00,2018-06-30,2001-10-31,34.45
2001-11-01 00:00:00,2018-06-30,2001-11-30,28.25
2001-12-01 00:00:00,2018-06-30,2001-12-31,24.48
2002-01-01 00:00:00,2018-06-30,2002-01-31,23.62
2002-02-01 00:00:00,2018-06-30,2002-02-28,24.67
2002-03-01 00:00:00,2018-06-30,2002-03-31,21.1
2002-04-01 00:00:00,2018-06-30,2002-04-30,21.81
2002-05-01 00:00:00,2018-06-30,2002-05-31,22.63
2002-06-01 00:00:00,2018-06-30,2002-06-30,28.6
2002-07-01 00:00:00,2018-06-30,2002-07-31,38.5
2002-08-01 00:00:00,2018-06-30,2002-08-31,37.25
2002-09-01 00:00:00,2018-06-30,2002-09-30,41.66
2002-10-01 00:00:00,2018-06-30,2002-10-31,41.4
2002-11-01 00:00:00,2018-06-30,2002-11-30,32.01
2002-12-01 00:00:00,2018-06-30,2002-12-31,31.83
2003-01-01 00:00:00,2018-06-30,2003-01-31,30.67
2003-02-01 00:00:00,2018-06-30,2003-02-28,36.54
2003-03-01 00:00:00,2018-06-30,2003-03-31,35.19
2003-04-01 00:00:00,2018-06-30,2003-04-30,27.14
2003-05-01 00:00:00,2018-06-30,2003-05-31,22.55
2003-06-01 00:00:00,2018-06-30,2003-06-30,22.35
2003-07-01 00:00:00,2018-06-30,2003-07-31,21.21
2003-08-01 00:00:00,2018-06-30,2003-08-31,20.83
2003-09-01 00:00:00,2018-06-30,2003-09-30,20.68
2003-10-01 00:00:00,2018-06-30,2003-10-31,19.18
2003-11-01 00:00:00,2018-06-30,2003-11-30,17.84
2003-12-01 00:00:00,2018-06-30,2003-12-31,16.38
2004-01-01 00:00:00,2018-06-30,2004-01-31,15.83
2004-02-01 00:00:00,2018-06-30,2004-02-29,15.92
2004-03-01 00:00:00,2018-06-30,2004-03-31,17.73
2004-04-01 00:00:00,2018-06-30,2004-04-30,15.79
2004-05-01 00:00:00,2018-06-30,2004-05-31,18.08
2004-06-01 00:00:00,2018-06-30,2004-06-30,15.05
2004-07-01 00:00:00,2018-06-30,2004-07-31,15.67
2004-08-01 00:00:00,2018-06-30,2004-08-31,16.59
2004-09-01 00:00:00,2018-06-30,2004-09-30,13.88
2004-10-01 00:00:00,2018-06-30,2004-10-31,15.18
2004-11-01 00:00:00,2018-06-30,2004-11-30,14.05
2004-12-01 00:00:00,2018-06-30,2004-12-31,13.01
2005-01-01 00:00:00,2018-06-30,2005-01-31,13.51
2005-02-01 00:00:00,2018-06-30,2005-02-28,11.56
2005-03-01 00:00:00,2018-06-30,2005-03-31,12.88
2005-04-01 00:00:00,2018-06-30,2005-04-30,14.06
2005-05-01 00:00:00,2018-06-30,2005-05-31,13.18
2005-06-01 00:00:00,2018-06-30,2005-06-30,11.24
2005-07-01 00:00:00,2018-06-30,2005-07-31,10.49
2005-08-01 00:00:00,2018-06-30,2005-08-31,11.99
2005-09-01 00:00:00,2018-06-30,2005-09-30,11.96
2005-10-01 00:00:00,2018-06-30,2005-10-31,14.58
