date,realtime_end,realtime_start,SPREAD
1993-11-01 00:00:00,2018-06-30,1993-11-30,2.54
1993-12-01 00:00:00,2018-06-30,1993-12-31,2.64
1994-01-01 00:00:00,2018-06-30,1994-01-31,2.71
1994-02-01 00:00:00,2018-06-30,1994-02-28,2.64
1994-03-01 00:00:00,2018-06-30,1994-03-31,2.89
1994-04-01 00:00:00,2018-06-30,1994-04-30,3.19
1994-05-01 00:00:00,2018-06-30,1994-05-31,2.91
1994-06-01 00:00:00,2018-06-30,1994-06-30,2.85
1994-07-01 00:00:00,2018-06-30,1994-07-31,2.84
1994-08-01 00:00:00,2018-06-30,1994-08-31,2.63
1994-09-01 00:00:00,2018-06-30,1994-09-30,2.71
1994-10-01 00:00:00,2018-06-30,1994-10-31,2.64
1994-11-01 00:00:00,2018-06-30,1994-11-30,2.51
1994-12-01 00:00:00,2018-06-30,1994-12-31,2.05
1995-01-01 00:00:00,2018-06-30,1995-01-31,1.88
1995-02-01 00:00:00,2018-06-30,1995-02-28,1.53
1995-03-01 00:00:00,2018-06-30,1995-03-31,1.29
1995-04-01 00:00:00,2018-06-30,1995-04-30,1.22
1995-05-01 00:00:00,2018-06-30,1995-05-31,0.78
1995-06-01 00:00:00,2018-06-30,1995-06-30,0.53
1995-07-01 00:00:00,2018-06-30,1995-07-31,0.69
1995-08-01 00:00:00,2018-06-30,1995-08-31,0.92
1995-09-01 00:00:00,2018-06-30,1995-09-30,0.77
1995-10-01 00:00:00,2018-06-30,1995-10-31,0.6
1995-11-01 00:00:00,2018-06-30,1995-11-30,0.41
1995-12-01 00:00:00,2018-06-30,1995-12-31,0.42
1996-01-01 00:00:00,2018-06-30,1996-01-31,0.5
1996-02-01 00:00:00,2018-06-30,1996-02-29,0.85
1996-03-01 00:00:00,2018-06-30,1996-03-31,1.17
1996-04-01 00:00:00,2018-06-30,1996-04-30,1.42
1996-05-01 00:00:00,2018-06-30,1996-05-31,1.59
1996-06-01 00:00:00,2018-06-30,1996-06-30,1.68
1996-07-01 00:00:00,2018-06-30,1996-07-31,1.57
1996-08-01 00:00:00,2018-06-30,1996-08-31,1.45
1996-09-01 00:00:00,2018-06-30,1996-09-30,1.59
1996-10-01 00:00:00,2018-06-30,1996-10-31,1.41
1996-11-01 00:00:00,2018-06-30,1996-11-30,1.03
1996-12-01 00:00:00,2018-06-30,1996-12-31,1.26
1997-01-01 00:00:00,2018-06-30,1997-01-31,1.41
1997-02-01 00:00:00,2018-06-30,1997-02-28,1.28
1997-03-01 00:00:00,2018-06-30,1997-03-31,1.41
1997-04-01 00:00:00,2018-06-30,1997-04-30,1.59
1997-05-01 00:00:00,2018-06-30,1997-05-31,1.51
1997-06-01 00:00:00,2018-06-30,1997-06-30,1.42
1997-07-01 00:00:00,2018-06-30,1997-07-31,1.03
1997-08-01 00:00:00,2018-06-30,1997-08-31,1.02
1997-09-01 00:00:00,2018-06-30,1997-09-30,1.13
1997-10-01 00:00:00,2018-06-30,1997-10-31,0.92
1997-11-01 00:00:00,2018-06-30,1997-11-30,0.6
