date,realtime_end,realtime_start,CPI
1993-01-01 00:00:00,2018-06-30 00:00:00,1996-02-28 00:00:00,142.8
1993-02-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,143.2
1993-02-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,143.1
1993-03-01 00:00:00,1998-02-23 00:00:00,1995-01-01 00:00:00,143.5
1993-03-01 00:00:00,2002-02-19 00:00:00,1998-02-24 00:00:00,143.4
1993-03-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,143.3
1993-04-01 00:00:00,1996-02-27 00:00:00,1995-01-01 00:00:00,144.0
1993-04-01 00:00:00,2002-02-19 00:00:00,1996-02-28 00:00:00,143.9
1993-04-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,143.8
1993-05-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,144.3
1993-05-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,144.2
1993-06-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,144.4
1993-06-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,144.3
1993-07-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,144.6
1993-07-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,144.5
1993-08-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,145.0
1993-08-01 00:00:00,2002-02-19 00:00:00,1995-02-15 00:00:00,144.9
1993-08-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,144.8
1993-09-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,145.1
1993-09-01 00:00:00,1996-02-27 00:00:00,1995-02-15 00:00:00,145.0
1993-09-01 00:00:00,2002-02-19 00:00:00,1996-02-28 00:00:00,145.1
1993-09-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,145.0
1993-10-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,145.6
1993-10-01 00:00:00,2002-02-19 00:00:00,1995-02-15 00:00:00,145.7
1993-10-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,145.6
1993-11-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,146.0
1993-12-01 00:00:00,1997-02-18 00:00:00,1995-01-01 00:00:00,146.3
1993-12-01 00:00:00,2002-02-19 00:00:00,1997-02-19 00:00:00,146.4
1993-12-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,146.3
1994-01-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,146.3
1994-01-01 00:00:00,2002-02-19 00:00:00,1995-02-15 00:00:00,146.4
1994-01-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,146.3
1994-02-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,146.7
1994-02-01 00:00:00,1996-02-27 00:00:00,1995-02-15 00:00:00,146.8
1994-02-01 00:00:00,1997-02-18 00:00:00,1996-02-28 00:00:00,146.7
1994-02-01 00:00:00,1998-02-23 00:00:00,1997-02-19 00:00:00,146.8
1994-02-01 00:00:00,1999-02-18 00:00:00,1998-02-24 00:00:00,146.7
1994-02-01 00:00:00,2002-02-19 00:00:00,1999-02-19 00:00:00,146.8
1994-02-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,146.7
1994-03-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,147.2
