date,realtime_end,realtime_start,AWH
1983-05-01 00:00:00,2016-02-04 00:00:00,2013-02-01 00:00:00,69.2
1983-05-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,69.1
1983-06-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,101.1
1983-06-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,69.7
1983-06-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,69.6
1983-07-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,101.9
1983-07-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,70.2
1983-07-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,70.1
1983-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,70.0
1983-08-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,101.0
1983-08-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,69.7
1983-08-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,69.8
1983-08-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,69.7
1983-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,69.6
1983-09-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.3
1983-09-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,71.1
1983-09-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,71.2
1983-09-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.1
1983-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.0
1983-10-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.1
1983-10-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,71.8
1983-10-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,71.9
1983-10-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.8
1983-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.7
1983-11-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.4
1983-11-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,72.0
