date,realtime_end,realtime_start,EMP
1983-06-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,90022.0
1983-07-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,90313.0
1983-07-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,90425.0
1983-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,90440.0
1983-08-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,89973.0
1983-08-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,90117.0
1983-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,90132.0
1983-09-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,91088.0
1983-09-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,91231.0
1983-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,91247.0
1983-10-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,91408.0
1983-10-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,91503.0
1983-10-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,91502.0
1983-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,91518.0
1983-11-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,91727.0
1983-11-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,91854.0
1983-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,91871.0
1983-12-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,92110.0
1983-12-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,92210.0
1983-12-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,92227.0
1984-01-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,92524.0
1984-01-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,92657.0
1984-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,92673.0
1984-02-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,93043.0
1984-02-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,93138.0
1984-02-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,93136.0
1984-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,93154.0
1984-03-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,93312.0
1984-03-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,93411.0
1984-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,93429.0
1984-04-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,93650.0
