date,realtime_end,realtime_start,IP
1980-09-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,78.846
1980-09-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,78.885
1980-09-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,62.43
1980-09-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,62.257
1980-09-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,61.532
1980-09-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,61.582
1980-09-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,55.221
1980-09-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,55.2207
1980-09-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,54.2361
1980-09-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,55.3355
1980-09-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,55.3462
1980-09-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,49.2387
1980-09-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,49.3334
1980-09-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,49.4248
1980-09-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,49.3959
1980-09-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,49.4073
1980-09-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,51.1616
1980-09-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,51.4172
1980-09-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,51.1727
1980-09-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,50.9338
1980-10-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,84.0
1980-10-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,79.413
1980-10-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,79.453
1980-10-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,63.115
1980-10-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,62.94
1980-10-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,62.171
1980-10-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,62.323
1980-10-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,55.897
1980-10-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,55.8969
1980-10-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,54.9164
1980-10-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,56.0337
1980-10-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,56.0522
1980-10-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,49.8653
1980-10-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,49.9535
1980-10-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,50.0471
1980-10-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,50.0159
1980-10-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,50.0203
1980-10-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,51.7986
1980-10-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,52.054
1980-10-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,51.8129
1980-10-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,51.5801
1980-11-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,85.5
1980-11-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,80.695
1980-11-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,80.735
1980-11-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,64.251
1980-11-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,64.073
1980-11-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,63.249
1980-11-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,63.375
1980-11-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,56.858
1980-11-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,56.8576
1980-11-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,55.8617
1980-11-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,57.0043
1980-11-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,57.0244
1980-11-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,50.7344
1980-11-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,50.8207
1980-11-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,50.9164
1980-11-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,50.8791
1980-11-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,50.8923
1980-11-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,52.6929
1980-11-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,52.9626
1980-11-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,52.7175
1980-11-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,52.4731
1980-12-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,85.9
1980-12-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,81.095
1980-12-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,81.135
1980-12-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,64.606
1980-12-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,64.427
1980-12-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,63.624
1980-12-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,63.747
1980-12-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,57.19
1980-12-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,57.1901
1980-12-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,56.1854
1980-12-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,57.3283
1980-12-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,57.3435
1980-12-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,51.0241
